rdkit_SMILES,pIC50,References_type,References_detail,Year,MOSES_passed,vocab_checked
CNC(=O)CCCNC(=O)Nc1cc(Oc2ccc3c(ccn3C(=O)NC)c2)ccn1,8.468521082957745,Patent, EISAI CO LTD; EP1522540; (2005); A1;,2005,YES,True
CCCNC(=O)Nc1ccc(Oc2ccnc3cc(OCc4ccncc4)c(OC)cc23)cc1Cl,8.455931955649724,Patent, Kyowa Kirin (in: Kirin Holdings); KIRIN HOLDINGS CO LTD; EP1384712; (2004); A1;,2004,YES,True
COCCNC(=O)c1cc2c(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)ccnc2cc1OC,8.455931955649724,Patent, JPARIMOTO ITARU; EISAI CO LTD; EP1415987; (2004); A1;,2004,YES,True
COC(=O)Nc1nc2ccc(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)cc2[nH]1,8.455931955649724,Article," Hasegawa, Masaichi; Nishigaki, Naohiko; Washio, Yoshiaki; Kano, Kazuya; Harris, Philip A.; Sato, Hideyuki; Mori, Ichiro; West, Rob I.; Shibahara, Megumi; Toyoda, Hiroko; Wang, Liping; Nolte, Robert T.; Veal, James M.; Cheung, Mui; Journal of Medicinal Chemistry; vol. 50; 18; (2007); p. 4453 - 4470;",2007,YES,True
CCNC(=O)Nc1ccc(Oc2ncnc3cc(OC)c(OC)cc23)cc1Cl,8.455931955649724,Patent, Kyowa Kirin (in: Kirin Holdings); KIRIN HOLDINGS CO LTD; EP1384712; (2004); A1;,2004,YES,True
CCCNC(=O)Nc1ccc(Oc2ncnc3cc(OCCCN4CCOCC4)c(OC)cc23)cc1Cl,8.443697499232712,Patent, Kyowa Kirin (in: Kirin Holdings); KIRIN HOLDINGS CO LTD; EP1384712; (2004); A1;,2004,YES,True
COc1cc2c(Oc3ccc(NC(=O)Nc4ccc(F)cc4F)c(Cl)c3)ccnc2cc1OCc1cccnc1,8.431798275933005,Patent, Kyowa Kirin (in: Kirin Holdings); KIRIN HOLDINGS CO LTD; US6797823; (2004); B1;,2004,YES,True
CCCNC(=O)Nc1cc(C)c(Oc2ccnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)cc1C,8.431798275933005,Patent, Kyowa Kirin (in: Kirin Holdings); KIRIN HOLDINGS CO LTD; US6797823; (2004); B1;,2004,YES,True
COc1cc2ncnc(Oc3ccc(NC(=O)Nc4ccccc4C)c(F)c3)c2cc1OC,8.42021640338319,Patent, Kyowa Kirin (in: Kirin Holdings); KIRIN HOLDINGS CO LTD; US6797823; (2004); B1;,2004,YES,True
CNC(=O)n1cc(Cl)c2cc(Oc3ccnc(NC(=O)N4CCC(O)CC4)c3)ccc21,8.4089353929735,Patent, EISAI CO LTD; EP1522540; (2005); A1;,2005,YES,True
CCCNC(=O)Nc1ccc(Oc2ncnc3cc(OCCN4CCOCC4)c(OC)cc23)cc1Cl,8.4089353929735,Patent, Kyowa Kirin (in: Kirin Holdings); KIRIN HOLDINGS CO LTD; US6797823; (2004); B1;,2004,YES,True
